Designator,Mid X,Mid Y,Rotation,Layer
C1,144.5514,-85.3861,270.0,top
C2,146.091942,-85.826758,90.0,top
CN1,136.8325,-86.3925,90.0,top
D1,147.955,-85.5217,270.0,top
H2,145.288,-78.2828,180.0,top
R1,147.955,-89.5344,270.0,top
R2,144.1704,-90.3732,90.0,top
R3,141.2107,-83.566,180.0,top
R4,142.4057,-85.852,0.0,top
R5,142.4045,-87.0966,0.0,top
R6,148.8713,-83.058,0.0,top
U1,144.5594,-87.682,0.0,top
